Grid ID,Latitude,Longitude
4525,23.875,-123.875
4526,23.875,-123.625
4527,23.875,-123.375
4528,23.875,-123.125
4529,23.875,-122.875
4530,23.875,-122.625
4531,23.875,-122.375
4532,23.875,-122.125
4533,23.875,-121.875
4534,23.875,-121.625
4535,23.875,-121.375
4536,23.875,-121.125
4537,23.875,-120.875
4538,23.875,-120.625
4539,23.875,-120.375
4540,23.875,-120.125
4541,23.875,-119.875
4542,23.875,-119.625
4543,23.875,-119.375
4544,23.875,-119.125
4545,23.875,-118.875
4546,23.875,-118.625
4547,23.875,-118.375
4548,23.875,-118.125
4549,23.875,-117.875
4550,23.875,-117.625
4551,23.875,-117.375
4552,23.875,-117.125
4553,23.875,-116.875
4554,23.875,-116.625
4555,23.875,-116.375
4556,23.875,-116.125
4557,23.875,-115.875
4558,23.875,-115.625
4559,23.875,-115.375
4560,23.875,-115.125
4561,23.875,-114.875
4562,23.875,-114.625
4563,23.875,-114.375
4564,23.875,-114.125
4565,23.875,-113.875
4566,23.875,-113.625
4567,23.875,-113.375
4568,23.875,-113.125
4569,23.875,-112.875
4570,23.875,-112.625
4571,23.875,-112.375
4572,23.875,-112.125
4573,23.875,-111.875
4574,23.875,-111.625
4575,23.875,-111.375
4576,23.875,-111.125
4577,23.875,-110.875
4578,23.875,-110.625
4579,23.875,-110.375
4580,23.875,-110.125
4581,23.875,-109.875
4582,23.875,-109.625
4583,23.875,-109.375
4584,23.875,-109.125
4585,23.875,-108.875
4586,23.875,-108.625
4587,23.875,-108.375
4588,23.875,-108.125
4589,23.875,-107.875
4590,23.875,-107.625
4591,23.875,-107.375
4592,23.875,-107.125
4593,23.875,-106.875
4594,23.875,-106.625
4595,23.875,-106.375
4596,23.875,-106.125
4597,23.875,-105.875
4598,23.875,-105.625
4599,23.875,-105.375
4600,23.875,-105.125
4601,23.875,-104.875
4602,23.875,-104.625
4603,23.875,-104.375
4604,23.875,-104.125
4605,23.875,-103.875
4606,23.875,-103.625
4607,23.875,-103.375
4608,23.875,-103.125
4609,23.875,-102.875
4610,23.875,-102.625
4611,23.875,-102.375
4612,23.875,-102.125
4613,23.875,-101.875
4614,23.875,-101.625
4615,23.875,-101.375
4616,23.875,-101.125
4617,23.875,-100.875
4618,23.875,-100.625
4619,23.875,-100.375
4620,23.875,-100.125
4621,23.875,-99.875
4622,23.875,-99.625
4623,23.875,-99.375
4624,23.875,-99.125
4625,23.875,-98.875
4626,23.875,-98.625
4627,23.875,-98.375
4628,23.875,-98.125
4629,23.875,-97.875
4630,23.875,-97.625
4631,23.875,-97.375
4632,23.875,-97.125
4633,23.875,-96.875
4634,23.875,-96.625
4635,23.875,-96.375
4636,23.875,-96.125
4637,23.875,-95.875
4638,23.875,-95.625
4639,23.875,-95.375
4640,23.875,-95.125
4641,23.875,-94.875
4642,23.875,-94.625
4643,23.875,-94.375
4644,23.875,-94.125
4645,23.875,-93.875
4646,23.875,-93.625
4647,23.875,-93.375
4648,23.875,-93.125
4649,23.875,-92.875
4650,23.875,-92.625
4651,23.875,-92.375
4652,23.875,-92.125
4653,23.875,-91.875
4654,23.875,-91.625
4655,23.875,-91.375
4656,23.875,-91.125
4657,23.875,-90.875
4658,23.875,-90.625
4659,23.875,-90.375
4660,23.875,-90.125
4661,23.875,-89.875
4662,23.875,-89.625
4663,23.875,-89.375
4664,23.875,-89.125
4665,23.875,-88.875
4666,23.875,-88.625
4667,23.875,-88.375
4668,23.875,-88.125
4669,23.875,-87.875
4670,23.875,-87.625
4671,23.875,-87.375
4672,23.875,-87.125
4673,23.875,-86.875
4674,23.875,-86.625
4675,23.875,-86.375
4676,23.875,-86.125
4677,23.875,-85.875
4678,23.875,-85.625
4679,23.875,-85.375
4680,23.875,-85.125
4681,23.875,-84.875
4682,23.875,-84.625
4683,23.875,-84.375
4684,23.875,-84.125
4685,23.875,-83.875
4686,23.875,-83.625
4687,23.875,-83.375
4688,23.875,-83.125
4689,23.875,-82.875
4690,23.875,-82.625
4691,23.875,-82.375
4692,23.875,-82.125
4693,23.875,-81.875
4694,23.875,-81.625
4695,23.875,-81.375
4696,23.875,-81.125
4697,23.875,-80.875
4698,23.875,-80.625
4699,23.875,-80.375
4700,23.875,-80.125
4701,23.875,-79.875
4702,23.875,-79.625
4703,23.875,-79.375
4704,23.875,-79.125
4705,23.875,-78.875
4706,23.875,-78.625
4707,23.875,-78.375
4708,23.875,-78.125
4709,23.875,-77.875
4710,23.875,-77.625
4711,23.875,-77.375
4712,23.875,-77.125
4713,23.875,-76.875
4714,23.875,-76.625
4715,23.875,-76.375
4716,23.875,-76.125
4717,23.875,-75.875
4718,23.875,-75.625
4719,23.875,-75.375
4720,23.875,-75.125
4721,23.875,-74.875
4722,23.875,-74.625
4723,23.875,-74.375
4724,23.875,-74.125
4725,23.875,-73.875
4726,23.875,-73.625
4727,23.875,-73.375
4728,23.875,-73.125
4729,23.875,-72.875
4730,23.875,-72.625
4731,23.875,-72.375
4732,23.875,-72.125
4733,23.875,-71.875
4734,23.875,-71.625
4735,23.875,-71.375
4736,23.875,-71.125
4737,23.875,-70.875
