ICAO,FAA,GHCN
KOLM,OLM,USW00024227
KHQM,HQM,USW00094225
GRAY,AAF,USW00024201
LAKE,CLE,USC00454394
KSMP,SMP,USW00024237
KSHN,SHN,USW00094227
KEAT,EAT,USW00094239
KSEA,SEA,USW00024233
KBFI,BFI,USW00024234
KGEG,GEG,USW00024157
KDEW,DEW,USW00094119
KUIL,UIL,USW00094240
ROSS,DAM,USC00457185
KBLI,BLI,USW00024217
RJTX,NDT,JAW00043323
PTSA,TTK,FMC00914395
PKMJ,MAJ,RMW00040710
PTKR,ROR,PSW00040309
PTKK,TKK,FMW00040505
PKWA,KWA,RMW00040604
PGUM,GUM,GQW00041415
NSTU,PPG,AQW00061705
PGSN,GSN,CQC00914855
PGRO,GRO,CQC00914801
KBAZ,BAZ,USW00012971
KRKP,RKP,USW00012972
KBMQ,BMQ,USW00003999
KLWD,LWD,USW00094991
KASD,ASD,USW00053865
KAPX,APX,USC00203099
KLLJ,LLJ,USW00004114
KVCB,VCB,USW00093241
KPSP,PSP,USW00093138
KEEO,EEO,USW00094050
KLLQ,LLQ,USW00053919
KSNT,SNT,USW00004112
KPTW,PTW,USW00054782
KTVR,TVR,USW00003996
KDMH,DMH,USW00093784
KVAY,VAY,USW00093780
KGOK,GOK,USW00053913
KOQT,OQT,USW00053868
KSMQ,SMQ,USW00054785
KTKI,TKI,USW00053914
KAKQ,AKQ,USW00093773
KDYL,DYL,USW00054786
KDGW,DGW,USW00094057
KTOR,TOR,USW00094053
PAKW,AKW,USW00025367
PALH,LHD,USW00026491
KFWN,FWN,USW00054793
KSGR,SGR,USW00012977
KDEQ,DEQ,USW00053925
KGPT,GPT,USW00093874
LOLO,HOT,USC00245144
KFCM,FCM,USW00094963
KMWT,MWT,USW00053921
KMLB,MLB,USW00012838
KBHK,BHK,USW00094055
LAKE,DAM,CA006100493
LAKE,CDA,CA004023060
BEGA,AWS,ASN00069139
KURE,REG,JA000047766
CAPE,DON,ASN00014245
LAKE,CDA,CA004064600
LAKE,CDA,CA001181465
NOVI,SAD,RIE00111909
BULL,BAY,ASN00094166
PASS,DOH,CA001110352
GALT,MOE,CA006141095
LAKE,DAM,CA001042255
BURN,CDA,CA004077560
AXEL,CRK,CA001161F55
LAKE,DAM,CA001142574
FLON,CFB,CA005050970
DAME,DES,CA007045672
TITE,DES,CA007047762
HILL,CDA,CA008105500
PORT,AUX,CA008402975
ISLE,AUX,CA008402450
NOVA,NAT,CA008403852
DAME,DES,CA007025670
ANNE,DES,CA007056850
KURI,BAY,ASN00001009
COVE,NRC,CA008205062
ZERO,AFS,CA003062968
MILE,BRK,CA008103706
KVEL,VEL,USW00094030
KDFI,DFI,USW00004851
KBEH,BEH,USW00094871
PEAT,BOG,CA008401251
BEND,RES,CA0061229H8
ROCK,STP,CA001108914
NOVA,NAT,CA008403854
GORE,BAY,CA006092920
PEAT,BOG,CA008401250
LANG,SON,VMM00048830
BASE,SAN,AYM00089066
CABO,SAN,CUM00078310
WASA,EPS,AYM00089016
DONG,HOI,VMM00048848
KCZZ,CZZ,USW00003164
OTIS,AFB,USW00014704
